Title,Call Number,Part(s),Year,Date Range,Date 1,Date 2,Date 3,Barcode 1,Barcode 2,Barcode 3,Notes 1,Notes 2,Leader,003,007,008
"Heidi Hoffman, cello, Xak Bjerken, piano, David Yearsley, harpsichord",DAT CU 459,,2003,2003 March 13,2003 March 13,,,31924119826752,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"David Higgs, organ",DAT CU 460,,2003,2003 March 25,2003 March 25,,,31924119826760,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Brigitte Poulin, piano",DAT CU 461,,2003,2003 March 27,2003 March 27,,,31924119826778,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Mozart and the keyboard culture of his time,DAT CU 462,,2003,2003 March 28,2003 March 28,,,31924119826786,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Violin and viola students,DAT CU 463,,2003,2003 March 30,2003 March 30,,,31924119826794,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Mozart and the keyboard culture of his time,DAT CU 464,,2003,2003 March 30,2003 March 30,,,31924119826802,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Festival,DAT CU 465,,2003,2003 April 3,2003 April 3,,,31924119826810,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 466,,2003,2003 April 5,2003 April 5,,,31924119826828,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Guest ensemble: Bizzaries ,DAT CU 467,,2003,2003 April 9,2003 April 9,,,31924119826836,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 468,,2003,2003 April 11,2003 April 11,,,31924119826844,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Chorale,DAT CU 469,,2003,2003 April 12,2003 April 12,,,31924119826851,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Jamye Valotta, flute, Blaise Bryski, piano, Elizabeth Lindau, harpsichord",DAT CU 470,,2003,2003 April 13,2003 April 13,,,31924119826869,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Honors String Quartet,DAT CU 471,,2003,2003 April 14,2003 April 14,,,31924119826877,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Jared Emerson-Johnson, composer",DAT CU 472,,2003,2003 April 15,2003 April 15,,,31924119826885,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 473,,2003,2003 April 19,2003 April 19,,,31924119826893,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 474,,2003,2003 April 21,2003 April 21,,,31924119826901,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Daniel Acsadi, guitar",DAT CU 475,,2003,2003 April 24,2003 April 24,,,31924119826919,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 476,,2003,2003 April 25,2003 April 25,,,31924119826927,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Piano students of Xak Bjerken,DAT CU 477,,2003,2003 April 26,2003 April 26,,,31924119826935,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 478,,2003,2003 April 26,2003 April 26,,,31924119826943,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Vocal recital,DAT CU 479,,2003,2003 April 26,2003 April 26,,,31924119826950,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Group recital Kirstin Ek,DAT CU 480,,2003,2003 April 6,2003 April 6,,,31924119826968,,,also contains 2002 April 13,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 481,,2003,2003 April 27,2003 April 27,,,31924119826976,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 482,,2003,2003 April 27,2003 April 27,,,31924119826984,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gary Moulsdale, tenor, Blaise Bryski, piano",DAT CU 483,,2003,2003 April 28,2003 April 28,,,31924119826992,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Augustus Arnone, piano",DAT CU 484,,2003,2003 April 29,2003 April 29,,,31924119827008,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Studio 342,DAT CU 485,,2003,2003 April 30,2003 April 30,,,31924119827016,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 486,,2003,2003 May 2,2003 May 2,,,31924119827024,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 487,,2003,2003 May 4,2003 May 4,,,31924119827032,,,3:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 488,,2003,2003 May 4,2003 May 4,,,31924119827040,,,8:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 489,,2003,2003 May 6,2003 May 6,,,31924119827057,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Water bear,DAT CU 490,,2003,2003 September 5,2003 September 5,,,31924119827065,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"David Borden, Blaise Bryski, Kathy Supove",DAT CU 491,,2003,2003 September 13,2003 September 13,,,31924119827073,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student organists from the Eastman School of Music,DAT CU 492,,2003,2003 September 21,2003 September 21,,,31924119827081,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ruth Roland, violin, William Cowdery, piano",DAT CU 493,,2003,2003 September 26,2003 September 26,,,31924119827099,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Xak Bjerken,DAT CU 494,,2003,2003 September 28,2003 September 28,,,31924119827107,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kevin Lowe, drums",DAT CU 495,,2003,2003 October 17,2003 October 17,,,31924119827115,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 496,,2003,2003 October 18,2003 October 18,,,31924119827123,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Yotam Haber, composer",DAT CU 497,,2003,2003 October 19,2003 October 19,,,31924119827131,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Continuum student readings,DAT CU 498,,2003,2003 October 25,2003 October 25,,,31924119827149,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Continuum,DAT CU 499,,2003,2003 October 26,2003 October 26,,,31924119827156,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
2nd annual Halloween organ concert,DAT CU 500,,2003,2003 October 30,2003 October 30,,,31924119827164,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony,DAT CU 501,,2003,2003 November 1,2003 November 1,,,31924119827172,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 502,,2003,2003 November 8,2003 November 8,,,31924119827180,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Los Pioneros,DAT CU 503,,2003,2003 November 9,2003 November 9,,,31924119827198,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Catherine Oertel and Michael Clarkson, organ",DAT CU 504,,2003,2003 November 12,2003 November 12,,,31924119827206,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Malcolm Bilson, fortepiano",DAT CU 505,,2003,2003 November 15,2003 November 15,,,31924119827214,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Percussion Ensemble,DAT CU 506,,2003,2003 November 16,2003 November 16,,,31924119827222,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 507,,2003,2003 November 16,2003 November 16,,,31924119827230,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 508,,2003,2003 November 17,2003 November 17,,,31924119827248,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Blaise Bryski, Shane Levesque, Jason Wang",DAT CU 509,,2003,2003 November 21,2003 November 21,,,31924119827255,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensemble I,DAT CU 510,,2003,2003 November 22,2003 November 22,,,31924119827263,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Constance Dunlap, soprano, Jevon Bindman, tenor",DAT CU 511,,2003,2003 November 23,2003 November 23,,,31924119827271,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 512,,2003,2003 December 1,2003 December 1,,,31924119827289,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony,DAT CU 513,,2003,2003 December 4,2003 December 4,,,31924119827297,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 514,,2003,2003 December 6,2003 December 6,,,31924119827305,,,1:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 515,,2003,2003 December 6,2003 December 6,,,31924119827313,,,8:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Piano students of Xak Bjerken,DAT CU 516,,2003,2003 December 6,2003 December 6,,,31924119827321,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Studio 342,DAT CU 517,,2003,2003 December 7,2003 December 7,,,31924119827339,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 518,,2003,2003 December 9,2003 December 9,,,31924119827347,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Blaise Bryski, fortepiano",DAT CU 519,,2004,2004 January 31,2004 January 31,,,31924119827354,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Xak Bjerken, piano",DAT CU 520,,2004,2004 February 1,2004 February 1,,,31924119827362,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Silvia Mandolini, violin, Brigitte Poulin, piano",DAT CU 521,,2004,2004 February 6,2004 February 6,,,31924119827370,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Arnone-Cha-Kang Trio,DAT CU 522,,2004,2004 February 10,2004 February 10,,,31924119827388,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Los Bandidos,DAT CU 523,,2004,2004 February 14,2004 February 14,,,31924119827396,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphony Orchestra,DAT CU 524,,2004,2004 February 15,2004 February 15,,,31924119827404,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sydney de Lapeyrouse, soprano, Kathy Hansen, piano",DAT CU 525,,2004,2004 February 16,2004 February 16,,,31924119827412,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
The Stravinsky project Christina Dahl,DAT CU 526,,2004,2004 February 20,2004 February 20,,,31924119827420,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
The Stravinsky project Ensemble X,DAT CU 527,,2004,2004 February 21,2004 February 21,,,31924119827438,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
The Stravinsky project three classics,DAT CU 528,,2004,2004 February 22,2004 February 22,,,31924119827446,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Emily Green, piano",DAT CU 529,,2004,2004 February 24,2004 February 24,,,31924119827453,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Alexander Sarch, cello, Emily Green, piano",DAT CU 530,,2004,2004 March 1,2004 March 1,,,31924119827461,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano",DAT CU 531,,2004,2004 March 4,2004 March 4,,,31924119827479,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Spring is almost here ,DAT CU 532,,2004,2004 March 6,2004 March 6,,,31924119827487,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Amit Peled, cello, Miri Yampolsky, piano",DAT CU 533,,2004,2004 March 11,2004 March 11,,,31924119827495,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 534,,2004,2004 March 13,2004 March 13,,,31924119827503,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan, violin, Blaise Bryski, piano",DAT CU 535,,2004,2004 March 14,2004 March 14,,,31924119827511,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"David Chernyavsky, violin, Xak Bjerken, piano",DAT CU 536,,2004,2004 March 16,2004 March 16,,,31924119827529,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Joel Rubin Ensemble,DAT CU 537,,2004,2004 March 17,2004 March 17,,,31924119827537,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sarah Rice, cello, Emily Goldman, piano",DAT CU 538,,2004,2004 March 29,2004 March 29,,,31924119827545,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 539,,2004,2004 April 3,2004 April 3,,,31924119827552,,,Dress,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 540,,2004,2004 April 3,2004 April 3,,,31924119827560,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 541,,2004,2004 April 10,2004 April 10,,,31924119827578,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Shoghaken Ensemble,DAT CU 542,,2004,2004 May 4,2004 May 4,,,31924119827586,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 543,,2004,2004 May 8,2004 May 8,,,31924119827594,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Xak Bjerken,DAT CU 544,,2004,2004 May 8,2004 May 8,,,31924119827602,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 545,,2004,2004 May 9,2004 May 9,,,31924119827610,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 546,,2004,2004 May 10,2004 May 10,,,31924119827628,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
