ID Number,Kaltura ID,Accession Number,Title,Description,Filename
AFR_video_295_1,1_a2glsija,2944967,Kwame Toure's Black Solidarity Day Speech,Kwame Toure,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_295_1.mp4
AFR_video_302_1,1_fjx6s1j5,3050191,"Conference: Stephen Henderson, Haki Madhabuti, Abena Brown (2:02:40)","Henderson, Stephen; Madhabuti, Haki; Brown, Abena",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_302_1.mp4
AFR_video_302_2,1_sz5zn1jb,3050191,Angela Jackson,"Jackson, Angela",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_302_2.mp4
AFR_video_329,1_ldp95gft,2800646,"""Mandela Day"" -a Tribute to Nelson Mandela, Cornell University","Wole Soyinka, Sue Mnumchana, Don Barr, Nana Gyamfi",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_329.mp4
AFR_video_380_1,1_oim4t9yz,3352275,"Video One Friday: September 19, 1997 9:00 - 10:00 a.m.","Robert L. Harris, Jr.; James Turner; Ali A. Mazrui;",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_1.mp4
AFR_video_380_2,1_2jn9fwez,3352275,"Video Two Friday: September 19, 1997 10:30 a.m. - 12:30 p.m.",Locksley Edmondson; Selwyn H.H. Carrington; Noel Dossou-Yovo; Ben John Siyakwazi; Richard Olaniyan;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_2.mp4
AFR_video_380_3,1_7v26nur5,3352275,"Video Three Frida: September 19, 1997 Part I: Continuation of 10:30 a.m. -- 12:30 p.m. Part II: 2:00-4:00 p.m. ","Tiffany Patterson; S.Y. Boadi-Siaw; Henrique Cunha, Jr.; Emilio Jorge Rodriquez; Carolyn Cooper;",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_3.mp4
AFR_video_380_4,1_4chk9vy6,3352275,"Video Four Friday: September 19, 1997 Part I Continuation of 2:00-4:00pm Session; Part II 4:30-6:30 p.m.",Milfred Fierce; Chima Anyadike; Caetana Maria Damasceno; Ronilda Ribeiro; Carlos Alberto Medeiros;Ali A. Mazrui;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_4.mp4
AFR_video_380_5,1_62j0bl4b,3352275,"Video Five Part I Continuation of Discussion Keynote Address Ali A. Mazrui Friday September 19, 1997 9:00am -- 10:00 am; Part II Saturday: September 20, 1997 9:30-11:30 a.m. ",Ali A. Mazrui; Micere Mugo; Rupert Lewis; Phatudi D. Sekhukhune; Grace N. Wamue; Lucila Bandeira Beato;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_5.mp4
AFR_video_380_6,1_t1cjb9dc,3352275,"Video Six Part I Continuation of 9:30-11:30 a.m. Session Saturday: September 20, 1997; Part II 1:30-3:30 p.m. ",Marcus Balintulo; Vincent O. Cooper; Maureen Warner Lewis; Monica N. Wanambisi Mweseli; Kojo Fosu;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_6.mp4
AFR_video_380_7,1_d56004n7,3352275,"Video Seven Part I Continuation of 1:30 pm -- 3:30 pm Session Saturday: September 20, 1997; Part II 4:00 - 6:00 p.m.",Anani Dzidzienyo; Hassan Ahmed Ibrahim; Femi Osofisan; Helen Pyne Timothy; Chamberlain M. Hope;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_380_7.mp4
